image,label,card name,item-count,item-key
https://millerj-tc.github.io/questingDvorak/Working Directory/Tense Exchange.png,,Tense Exchange,1,
https://millerj-tc.github.io/questingDvorak/Working Directory/Pie Break.png,,Pie Break,1,
https://millerj-tc.github.io/questingDvorak/Working Directory/Shadowdagger Lunge.png,,Shadowdagger Lunge,2,
"https://millerj-tc.github.io/questingDvorak/Working Directory/Yetelu, Woad Knight.png",,"Yetelu, Woad Knight",2,
https://millerj-tc.github.io/questingDvorak/Working Directory/Combat Training.png,,Combat Training,1,
https://millerj-tc.github.io/questingDvorak/Working Directory/Assemble Amulet of Grim Protection.png,,Assemble Amulet of Grim Protection,3,
https://millerj-tc.github.io/questingDvorak/Working Directory/Consume Potion of Protection.png,,Consume Potion of Protection,1,
https://millerj-tc.github.io/questingDvorak/Set 1/Octo-venturer.png,,Octo-venturer,4,
"https://millerj-tc.github.io/questingDvorak/Set 1/Octo-venturer, Evolving.png",,"Octo-venturer, Evolving",3,
https://millerj-tc.github.io/questingDvorak/Set 1/Pigimus.png,,Pigimus,4,
"https://millerj-tc.github.io/questingDvorak/Set 1/Vopi, the Batsquire.png",,"Vopi, the Batsquire",4,
"https://millerj-tc.github.io/questingDvorak/Set 1/Vopi, Batknight.png",,"Vopi, Batknight",4,
https://millerj-tc.github.io/questingDvorak/Set 1/Borrow a Wizard's Hat.png,,Borrow a Wizard's Hat,2,
https://millerj-tc.github.io/questingDvorak/Set 1/Doran's Digging Technique.png,,Doran's Digging Technique,4,
https://millerj-tc.github.io/questingDvorak/Set 1/Swift Travel.png,,Swift Travel,2,
https://millerj-tc.github.io/questingDvorak/Set 1/Doran's Unicorn Helper.png,,Doran's Unicorn Helper,2,
https://millerj-tc.github.io/questingDvorak/Set 1/Enchanted Bident.png,,Enchanted Bident,1,
https://millerj-tc.github.io/questingDvorak/Set 1/Historied Blade.png,,Historied Blade,3,
https://millerj-tc.github.io/questingDvorak/Set 1/Staff of Greed.png,,Staff of Greed,2,
"https://millerj-tc.github.io/questingDvorak/Set 1/Doran, the Necrodude.png",,"Doran, the Necrodude",3,
"https://millerj-tc.github.io/questingDvorak/Set 1/Doran, Necro-Rising.png",,"Doran, Necro-Rising",1,
